"weblink","record_name"
"http://www.tupc.gov.taipei/ct.asp?xItem=1547420&ctNode=6308&mp=120021","臺北市都市計畫委員會第534次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1547431&ctNode=6308&mp=120021","臺北市都市計畫委員會第533次委員會議紀錄 "
"http://www.tupc.gov.taipei/ct.asp?xItem=1547434&ctNode=6308&mp=120021","臺北市都市計畫委員會第532次委員會議紀錄 "
"http://www.tupc.gov.taipei/ct.asp?xItem=1547440&ctNode=6308&mp=120021","臺北市都市計畫委員會第531次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1547441&ctNode=6308&mp=120021","臺北市都市計畫委員會第530次委員會議紀錄 "
"http://www.tupc.gov.taipei/ct.asp?xItem=98744984&ctNode=6308&mp=120021","臺北市都市計畫委員會第529次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98744986&ctNode=6308&mp=120021","臺北市都市計畫委員會第528次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98745260&ctNode=6308&mp=120021","臺北市都市計畫委員會第527次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98745262&ctNode=6308&mp=120021","臺北市都市計畫委員會第526次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98745542&ctNode=6308&mp=120021","臺北市都市計畫委員會第525次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98745544&ctNode=6308&mp=120021","臺北市都市計畫委員會第524次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98745818&ctNode=6308&mp=120021","臺北市都市計畫委員會第523次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98745820&ctNode=6308&mp=120021","臺北市都市計畫委員會第521次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98745819&ctNode=6308&mp=120021","臺北市都市計畫委員會第522次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98746097&ctNode=6308&mp=120021","臺北市都市計畫委員會第520次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98746107&ctNode=6308&mp=120021","臺北市都市計畫委員會第519次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98746376&ctNode=6308&mp=120021","臺北市都市計畫委員會第518次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98746923&ctNode=6308&mp=120021","臺北市都市計畫委員會第517次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98746650&ctNode=6308&mp=120021","臺北市都市計畫委員會第516次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98746927&ctNode=6308&mp=120021","臺北市都市計畫委員會第515次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98747208&ctNode=6308&mp=120021","臺北市都市計畫委員會第514次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98747214&ctNode=6308&mp=120021","臺北市都市計畫委員會第513次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=98747494&ctNode=6308&mp=120021","臺北市都市計畫委員會第512次委員會議紀錄"
