"link","name","type"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003835693694.pdf&mfkind_id=00038&mf_id=00038162","98.04.23 縣都委會第386次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003848092369.pdf&mfkind_id=00038&mf_id=00038161","98.03.31 縣都委會第385次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003861619378.pdf&mfkind_id=00038&mf_id=00038160","98.01.20 縣都委會第384次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003853164509.pdf&mfkind_id=00038&mf_id=00038159","97.12.18 縣都委會第383次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003841916523.pdf&mfkind_id=00038&mf_id=00038158","97.11.13 縣都委會第382次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003809975547.pdf&mfkind_id=00038&mf_id=00038157","97.10.15 縣都委會第381次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003894460572.pdf&mfkind_id=00038&mf_id=00038156","97.09.11 縣都委會第380次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003884853898.pdf&mfkind_id=00038&mf_id=00038155","97.08.07 縣都委會第379次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003839784016.pdf&mfkind_id=00038&mf_id=00038154","97.07.07 縣都委會第378次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003801021658.pdf&mfkind_id=00038&mf_id=00038153","97.05.29 縣都委會第377次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003847542443.pdf&mfkind_id=00038&mf_id=00038152","97.04.16 縣都委會第376次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003825742952.pdf&mfkind_id=00038&mf_id=00038151","97.03.13 縣都委會第375次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003806840475.pdf&mfkind_id=00038&mf_id=00038150","97.01.31 縣都委會第374次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003892102275.pdf&mfkind_id=00038&mf_id=00038149","97.01.10 縣都委會第373次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003820421197.pdf&mfkind_id=00038&mf_id=00038148","97.01.03 縣都委會第372次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003824077885.pdf&mfkind_id=00038&mf_id=00038147","96.12.10 縣都委會第371次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003820258751.pdf&mfkind_id=00038&mf_id=00038146","96.11.02 縣都委會第370次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003844440778.pdf&mfkind_id=00038&mf_id=00038145","96.10.11 縣都委會第369次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003867391714.pdf&mfkind_id=00038&mf_id=00038144","96.09.07 縣都委會第368次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003872471732.pdf&mfkind_id=00038&mf_id=00038143","96.07.26 縣都委會第367次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003800595012.pdf&mfkind_id=00038&mf_id=00038142","96.06.28 縣都委會第366次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003842311040.pdf&mfkind_id=00038&mf_id=00038141","96.05.24 縣都委會第365次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/0003802904060.pdf&mfkind_id=00038&mf_id=00038140","96.04.12 縣都委會第364次會議紀錄","PDF"
